央视,#genre#
CCTV-1,http://118.251.69.109:4022/udp/239.76.246.151:1234
CCTV-2,http://118.251.69.109:4022/udp/239.76.246.152:1234
CCTV-3,http://118.251.69.109:4022/udp/239.76.246.153:1234
CCTV-4,http://118.251.69.109:4022/udp/239.76.246.154:1234
CCTV-4欧洲,http://118.251.69.109:4022/udp/239.76.246.95:1234
CCTV-4美洲,http://118.251.69.109:4022/udp/239.76.246.96:1234
CCTV-5,http://118.251.69.109:4022/udp/239.76.254.214:9000
CCTV-5+,http://118.251.69.109:4022/udp/239.76.254.215:9000
CCTV-6,http://118.251.69.109:4022/udp/239.76.246.156:1234
CCTV-7,http://118.251.69.109:4022/udp/239.76.246.157:1234
CCTV-8,http://118.251.69.109:4022/udp/239.76.246.158:1234
CCTV-9,http://118.251.69.109:4022/udp/239.76.246.159:1234
CCTV-10,http://118.251.69.109:4022/udp/239.76.246.160:1234
CCTV-11,http://118.251.69.109:4022/udp/239.76.245.251:1234
CCTV-12,http://118.251.69.109:4022/udp/239.76.246.162:1234
CCTV-13,http://118.251.69.109:4022/udp/239.76.246.93:1234
CCTV-14,http://118.251.69.109:4022/udp/239.76.246.164:1234
CCTV-15,http://118.251.69.109:4022/udp/239.76.245.252:1234
CCTV-16,http://118.251.69.109:4022/udp/239.76.246.98:1234
CCTV-17,http://118.251.69.109:4022/udp/239.76.245.238:1234
CCTV-4K,http://118.251.69.109:4022/udp/239.76.254.64:9000
CCTV-16 4K,http://118.251.69.109:4022/udp/239.76.254.200:9000
第一剧场,http://118.251.69.109:4022/udp/239.76.254.49:9000
风云剧场,http://118.251.69.109:4022/udp/239.76.254.50:9000
风云音乐,http://118.251.69.109:4022/udp/239.76.254.51:9000
风云足球,http://118.251.69.109:4022/udp/239.76.254.52:9000
怀旧剧场,http://118.251.69.109:4022/udp/239.76.254.53:9000
女性时尚,http://118.251.69.109:4022/udp/239.76.254.55:9000
央视文化精品,http://118.251.69.109:4022/udp/239.76.254.56:9000
世界地理,http://118.251.69.109:4022/udp/239.76.254.57:9000
央视台球,http://118.251.69.109:4022/udp/239.76.254.58:9000
兵器科技,http://118.251.69.109:4022/udp/239.76.254.59:9000
电视指南,http://118.251.69.109:4022/udp/239.76.254.61:9000
高尔夫网球,http://118.251.69.109:4022/udp/239.76.254.62:9000

卫视,#genre#
湖南卫视,http://118.251.69.109:4022/udp/239.76.246.101:1234
江苏卫视,http://118.251.69.109:4022/udp/239.76.246.181:1234
